Restaurants,Food Offered,Reviews,Disounts
Chinese BAE,"Chinese, Thai, Seafood, Asian, Combo, Healthy Food, Beverages",N/A,60% off | Use STEALDEAL
Tasty Shawarma,"Seafood, Indian, South Indian, North Indian, Chinese",N/A,N/A
Voosh Thalis & Bowls,"North Indian, Home Food, Indian, Beverages",N/A,50% off | Use TRYNEW
MDP Coffee House,"South Indian, Beverages, Fast Food, Chinese",N/A,25% off on all orders
Friends Euro Restaurant ,"Chinese, Continental, Indian, Fast Food",N/A,N/A
Thali's Station,"Thalis, North Indian",N/A,60% off | Use TRYNEW
Baskin Robbins,Desserts,N/A,20% off | Use TRYNEW
1131 BAR+KITCHEN,Indian,N/A,N/A
Blue Tokai Coffee Roasters,"Healthy Food, Pastas, American, Lebanese, Mediterranean, European, Juices, Middl...",N/A,N/A
Food Nation,"Biryani, Chinese, Beverages",N/A,30% off | Use TRYNEW
CAFE 58,"Indian, Chinese, Snacks",N/A,N/A
Garden city hotel,"North Indian, Chinese, Tandoor, Biryani",N/A,20% off | Use TRYNEW
Salad Matters,"Indian, Thai, Middle Eastern",N/A,60% off | Use TRYNEW
THE MOONG ZONE,Indian,3.7,50% off | Use TRYNEW
Mad Max,"Punjabi, North Indian, Combo, Ice Cream, Beverages",N/A,N/A
Momo Time,Chinese,N/A,N/A
Tunday Kababi,"Mughlai, Lucknowi",N/A,20% off | Use TRYNEW
Go Go Wrapie,Snacks,N/A,N/A
I'm a Vegan,Healthy Food,N/A,N/A
Eat Healthy,"Continental, Healthy Food",N/A,N/A
Wats in the Wrap,"Snacks, Beverages",N/A,50% off | Use TRYNEW
Tibetan Mother's Kitchen,"Chinese, Tibetan, Thai",N/A,10% off | Use TRYNEW
Fairuza Biryani,"Biryani, Beverages",N/A,N/A
Ketoism,"Healthy Food, Snacks, Salads",N/A,N/A
Go Go Wrapie,Snacks,N/A,N/A
I'm a Vegan,Healthy Food,N/A,N/A
Eat Healthy,"Continental, Healthy Food",N/A,N/A
Wats in the Wrap,"Snacks, Beverages",N/A,50% off | Use TRYNEW
Fairuza Biryani,"Biryani, Beverages",N/A,N/A
Tibetan Mother's Kitchen,"Chinese, Tibetan, Thai",N/A,10% off | Use TRYNEW
Ketoism,"Healthy Food, Snacks, Salads",N/A,N/A
All Day Breakfast,"American, Continental, Healthy Food",N/A,N/A
Via Milano,"Italian, Pastas, Mediterranean, European, Pizzas, Continental, Seafood, Middle E...",N/A,50% off | Use TRYNEW
Vinaya Cafe,"North Indian, South Indian, Chinese",N/A,N/A
CREMEBORNE,"Desserts, Ice Cream",N/A,N/A
Terra Bites,"Continental, American, Italian, Mexican",N/A,N/A
RR Donne Biryani,Biryani,N/A,N/A
BOD - Burger on Demand,Snacks,N/A,N/A
LunchBox,"North Indian, Desserts, Biryani",N/A,25% off | Use PARTY
The Humble Pie,Desserts,N/A,N/A
The Betel Leaf Co.,"Paan, Desserts",N/A,N/A
The Golden Thali,"Thalis, North Indian",N/A,50% off on all orders
